Jack Malone
Vince Caruso
Tony DeLuca
Ray “Lucky” Lawson
Marcus Steele
Eddie Navarro
Frank “Double Down” D’Amico
Calvin Brooks
Leo Grant
Damon Price
Victor Reyes
Johnny “Ace” Carter
Andre Bishop
Samir Khan
Rick Dalton
Luis Ortega
Darren Holt
Quincy Shaw
Nate Holloway
Bobby Cruz
Terrence Cole
Malik Turner
Oscar Vega
Danny Russo
Harold Jenkins
Tyler Boone
Isaac Ford
Jerome Banks
Wesley Grant
Connor Blake
Julian Knight
Pedro Alvarez
Shane Mercer
Curtis Lang
Dominic Price
Adrian Wolfe
Leonard Pierce
Marcus Vaughn
Hector Salazar
Elijah Stone
Trent Walker
Victor Shaw
Ramon Delgado
Clyde Dawson
Aaron Bishop
Darius King
Felix Moreno
Jordan Hayes
Calvin Drake
Oliver Quinn
Desmond Cole
Ronnie Baxter
Xavier Cruz
Paul Navarro
Isaiah Grant
Gabriel Soto
Trevor Knox
Reggie Miles
Evan Mercer
Dante Russo
Noah Vega
Corey Fields
Lance Bishop
Edwin Torres
Bryce Dalton
Victor Hale
Theo Jenkins
Omar Price
Sean Wallace
Victor Kane
Mason Shaw
Andre Dawson
Julian Price
Rafael Cruz
Dwayne Carter
Chris Navarro
Kelvin Brooks
Sergio Vega
Miles Turner
Randall Knox
Dominic Cruz
Marcus Hale
Tyrone Bishop
Ethan Wolfe
Luis Navarro
Jamal Carter
Vincent Drake
Aaron Knox
Tony Vega
Corey Shaw
Xavier Holt
Damien Cruz
Nathan Cole
Ricardo Vega
Derrick Lawson
Elijah Cruz
Samuel Price
Brandon Mercer
Julian Carter
Victor Brooks
